model_name,scenario,selected_threshold,total_cost,cost_per_sample,recall,precision,f2,flagged_sample_rate,tp,fp,fn,tn,notes,base_scenario,review_capacity_label,max_flagged_sample_rate
dummy_majority_baseline,balanced_review,0.05,105.0,0.3343949044585987,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario.,balanced_review,none,
dummy_majority_baseline,balanced_review__high_review,0.05,105.0,0.3343949044585987,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.40.,balanced_review,high_review,0.4
dummy_majority_baseline,balanced_review__moderate_review,0.05,105.0,0.3343949044585987,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.30.,balanced_review,moderate_review,0.3
dummy_majority_baseline,quality_first,0.05,210.0,0.6687898089171974,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario.,quality_first,none,
dummy_majority_baseline,quality_first__high_review,0.05,210.0,0.6687898089171974,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.40.,quality_first,high_review,0.4
dummy_majority_baseline,quality_first__moderate_review,0.05,210.0,0.6687898089171974,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.30.,quality_first,moderate_review,0.3
dummy_majority_baseline,strict_quality,0.05,420.0,1.3375796178343948,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario.,strict_quality,none,
dummy_majority_baseline,strict_quality__high_review,0.05,420.0,1.3375796178343948,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.40.,strict_quality,high_review,0.4
dummy_majority_baseline,strict_quality__moderate_review,0.05,420.0,1.3375796178343948,0.0,0.0,0.0,0.0,0,0,21,293,Best under this illustrative scenario under max flagged sample rate 0.30.,strict_quality,moderate_review,0.3
lightgbm_class_weighted,balanced_review,0.15,101.0,0.321656050955414,0.1428571428571428,0.2142857142857142,0.1530612244897959,0.0445859872611464,3,11,18,282,Best under this illustrative scenario.,balanced_review,none,
