model_name,feature,importance_mean,importance_std,rank,split,scoring,notes
random_forest_reference,sensor_034,0.00557324041166804,0.0053663825148915515,1,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_092,0.004068885583937457,0.000886795772821721,2,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_334,0.00395198284325059,0.0006853881694420527,3,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_584,0.003873711937542404,0.0011227430537505412,4,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_022,0.0038170685997376943,0.002981828972701832,5,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_337,0.0037915618697758726,0.003012833425434112,6,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_011,0.0035048342796934807,0.0031500479316652627,7,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_065,0.0033599457590094113,0.0011494682869354204,8,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_009,0.0033480876441408874,0.00223797471065225,9,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_066,0.0032618608495601,0.0020085099719342973,10,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_520,0.0029438882076617684,0.003022070491931522,11,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_056,0.002873593976173425,0.0015765757986262031,12,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_040,0.002780641788930377,0.0014677142937940756,13,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_173,0.0027706998083719763,0.0032469478958950873,14,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_060,0.0027235157113338544,0.0072360361575988675,15,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_524,0.0025911791015321315,0.0018215513059384048,16,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_283,0.002382447247109862,0.0036404867701309318,17,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_069,0.0021737994928319264,0.005919930867650074,18,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_153,0.0021298776347933035,0.0029967634326286082,19,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
random_forest_reference,sensor_126,0.002090344507647765,0.0031988103811322168,20,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_104,0.015799886539251122,0.01387516812847412,1,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_022,0.005006064879983082,0.005182579983141007,2,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_280,0.0041956118175741795,0.001957497445350872,3,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_064,0.004066369922125007,0.0013856608070613307,4,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_424,0.0035336376519777392,0.0031017674263564814,5,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_334,0.00309071359806857,0.0015329134301652917,6,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_011,0.0030770577378991053,0.002049219939303935,7,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_060,0.0025972032061746587,0.007234944485711077,8,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_114,0.002576757950780678,0.0013974358267807936,9,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_034,0.0025144577920717254,0.003324269510288502,10,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_214,0.002462727033939666,0.000804631633076038,11,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_132,0.0020977796908255436,0.0014777207170913124,12,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_216,0.0018826377977249425,0.0001179331728108931,13,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
xgboost_cost_sensitive,sensor_407,0.0017356553490881193,0.001816249238397629,14,validation,average_precision,Permutation importance for model-important sensor signals from a model-selected candidate set.
