feature,models_where_top,model_count,best_rank,mean_rank,notes
sensor_091,random_forest_reference;xgboost_cost_sensitive,2,2,2.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_022,random_forest_reference;xgboost_cost_sensitive,2,2,3.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_334,random_forest_reference;xgboost_cost_sensitive,2,3,4.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_060,random_forest_reference;xgboost_cost_sensitive,2,1,5.666666666666667,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_104,random_forest_reference;xgboost_cost_sensitive,2,1,6.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_011,random_forest_reference;xgboost_cost_sensitive,2,7,7.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_337,random_forest_reference;xgboost_cost_sensitive,2,6,7.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_065,random_forest_reference;xgboost_cost_sensitive,2,4,7.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_574,random_forest_reference;xgboost_cost_sensitive,2,6,7.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_034,random_forest_reference;xgboost_cost_sensitive,2,1,8.25,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_470,random_forest_reference;xgboost_cost_sensitive,2,2,8.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_520,random_forest_reference;xgboost_cost_sensitive,2,6,8.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_066,random_forest_reference;xgboost_cost_sensitive,2,2,9.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_478,random_forest_reference;xgboost_cost_sensitive,2,1,9.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_198,random_forest_reference;xgboost_cost_sensitive,2,10,11.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_125,random_forest_reference;xgboost_cost_sensitive,2,12,13.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_214,random_forest_reference;xgboost_cost_sensitive,2,11,15.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_492,random_forest_reference;xgboost_cost_sensitive,2,13,16.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_309,random_forest_reference;xgboost_cost_sensitive,2,16,17.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_248,xgboost_cost_sensitive,1,2,2.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_280,xgboost_cost_sensitive,1,3,3.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_023,random_forest_reference,1,4,4.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_064,xgboost_cost_sensitive,1,4,4.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_094,random_forest_reference,1,4,4.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_133,xgboost_cost_sensitive,1,4,4.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_584,random_forest_reference,1,4,4.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_092,random_forest_reference,1,2,5.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_204,xgboost_cost_sensitive,1,5,5.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_424,xgboost_cost_sensitive,1,5,5.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_181,random_forest_reference,1,6,6.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_572,xgboost_cost_sensitive,1,6,6.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_052,xgboost_cost_sensitive,1,7,7.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_349,xgboost_cost_sensitive,1,7,7.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_454,random_forest_reference,1,7,7.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_206,random_forest_reference,1,8,8.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_009,random_forest_reference,1,9,9.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_090,xgboost_cost_sensitive,1,9,9.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_114,xgboost_cost_sensitive,1,9,9.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_131,random_forest_reference,1,9,9.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_010,random_forest_reference,1,10,10.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_021,random_forest_reference,1,10,10.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_511,random_forest_reference,1,3,10.5,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_018,xgboost_cost_sensitive,1,11,11.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_318,xgboost_cost_sensitive,1,11,11.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_386,random_forest_reference,1,7,11.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_436,random_forest_reference,1,11,11.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_029,xgboost_cost_sensitive,1,12,12.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_056,random_forest_reference,1,12,12.0,Anonymous sensor feature appearing in top prototype explainability rankings.
sensor_132,xgboost_cost_sensitive,1,12,12.0,Anonymous sensor feature appearing in top prototype explainability rankings.
